name,family,cargo_bp,dsb_free_required,note,doi
ISCro4_AAVS1,bridge_IS110,2000,True,programmable small cassette into a safe locus,10.1126/science.adz0276
ISCro4_rearrange,bridge_IS110,5000,True,large rearrangement at the bridge cargo limit,10.1126/science.adz1884
ShCAST_insert,CAST_VK,8000,True,RNA-guided Tn7-like site-specific insertion,10.1126/science.aax9181
INTEGRATE_insert,CAST_VK,10000,True,type I-F CRISPR-transposon RNA-guided insertion,10.1038/s41586-019-1323-z
PASTE_20kb,PE_integrase,20000,True,prime-editing-installed att large insertion,10.1038/s41587-022-01527-4
PASTE_36kb,PE_integrase,36000,True,drag-and-drop insertion near the PASTE limit,10.1038/s41587-022-01527-4
Bxb1_landingpad,serine_integrase,45000,True,large serine-integrase landing-pad insertion,10.1186/1472-6750-13-87
Bxb1_large,serine_integrase,50000,True,landing-pad cargo beyond PASTE capacity,10.1186/1472-6750-13-87
